"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SOUTHBANK","EQ","11-Sep-2017","         28.75","         29.00","         29.15","         28.85","         28.85","         28.95","         29.00","    4394786","           127452860.15","       7552","    1695860","         38.59"
"SOUTHBANK","EQ","12-Sep-2017","         28.95","         28.95","         29.45","         28.80","         29.20","         29.25","         29.20","    5699136","           166415710.45","      15866","    1781608","         31.26"
"SOUTHBANK","EQ","13-Sep-2017","         29.25","         29.00","         29.70","         28.70","         28.85","         28.80","         29.27","    8841542","           258781832.95","      12306","    2850167","         32.24"
"SOUTHBANK","EQ","14-Sep-2017","         28.80","         29.00","         29.15","         28.55","         28.70","         28.65","         28.74","    7484227","           215081838.90","      10476","    3415848","         45.64"
"SOUTHBANK","EQ","15-Sep-2017","         28.65","         28.70","         29.60","         28.15","         29.30","         29.25","         29.11","   24321813","           707985078.90","      25444","    9721474","         39.97"
"SOUTHBANK","EQ","18-Sep-2017","         29.25","         29.50","         29.70","         29.05","         29.25","         29.20","         29.32","    9680587","           283849349.90","      15124","    3481450","         35.96"
"SOUTHBANK","EQ","19-Sep-2017","         29.20","         29.25","         29.60","         28.75","         29.40","         29.05","         29.02","   11859817","           344129509.90","      14267","    5020123","         42.33"
"SOUTHBANK","EQ","20-Sep-2017","         29.05","         29.35","         31.95","         29.00","         31.35","         31.45","         30.75","   67921250","          2088793942.30","      38946","   27851450","         41.01"
"SOUTHBANK","EQ","21-Sep-2017","         31.45","         31.55","         32.00","         30.85","         31.10","         31.05","         31.33","   42007516","          1316096178.70","      29083","   12339149","         29.37"
"SOUTHBANK","EQ","22-Sep-2017","         31.05","         30.85","         30.85","         29.15","         29.45","         29.30","         30.00","   31131312","           933965585.20","      28185","    9986029","         32.08"
"SOUTHBANK","EQ","25-Sep-2017","         29.30","         29.30","         29.35","         28.00","         28.65","         28.60","         28.52","   19785744","           564255982.05","      25266","    4437240","         22.43"
"SOUTHBANK","EQ","26-Sep-2017","         28.60","         28.30","         29.45","         28.05","         29.00","         29.00","         28.72","   19433750","           558081850.55","      22594","    4310668","         22.18"
"SOUTHBANK","EQ","27-Sep-2017","         29.00","         29.15","         29.35","         27.50","         27.85","         27.85","         28.43","   22136086","           629268610.35","      22206","    4325982","         19.54"
"SOUTHBANK","EQ","28-Sep-2017","         27.85","         28.15","         28.40","         27.40","         28.40","         27.90","         27.94","   21972594","           613829403.50","      16472","    7132362","         32.46"
"SOUTHBANK","EQ","29-Sep-2017","         27.90","         28.40","         28.65","         28.10","         28.15","         28.20","         28.38","    9506948","           269833470.05","       9250","    3354815","         35.29"
"SOUTHBANK","EQ","03-Oct-2017","         28.20","         28.60","         28.60","         27.70","         27.90","         27.95","         28.06","    8355305","           234439740.75","      11832","    2647819","         31.69"
"SOUTHBANK","EQ","04-Oct-2017","         27.95","         27.95","         29.65","         27.75","         29.40","         29.35","         29.16","   31774947","           926490494.10","      26549","    8985075","         28.28"
"SOUTHBANK","EQ","05-Oct-2017","         29.35","         29.50","         30.05","         29.25","         29.80","         29.70","         29.70","   14587966","           433219869.55","      17863","    2646118","         18.14"
"SOUTHBANK","EQ","06-Oct-2017","         29.70","         29.95","         31.70","         29.85","         31.55","         31.55","         31.13","   52012245","          1618886182.15","      39682","   17899341","         34.41"
"SOUTHBANK","EQ","09-Oct-2017","         31.55","         31.80","         32.30","         31.35","         32.05","         32.00","         31.92","   30561970","           975616246.65","      33289","    6499320","         21.27"
"SOUTHBANK","EQ","10-Oct-2017","         32.00","         32.25","         32.25","         29.35","         30.05","         30.05","         30.31","   78293595","          2372700868.80","      70989","   12270431","         15.67"
"SOUTHBANK","EQ","11-Oct-2017","         30.05","         30.05","         31.85","         29.90","         30.70","         30.70","         30.91","   90031977","          2783182260.95","      54334","   20046596","         22.27"
"SOUTHBANK","EQ","12-Oct-2017","         30.70","         30.75","         31.55","         30.20","         31.25","         31.30","         30.89","   27410309","           846805846.35","      24524","    4554182","         16.61"
"SOUTHBANK","EQ","13-Oct-2017","         31.30","         31.25","         32.95","         31.20","         32.30","         32.35","         32.24","   48593913","          1566484668.25","      50883","   12674291","         26.08"
"SOUTHBANK","EQ","16-Oct-2017","         32.35","         32.45","         32.70","         31.55","         32.35","         32.30","         32.22","   28724113","           925608407.20","      34642","    6718637","         23.39"
"SOUTHBANK","EQ","17-Oct-2017","         32.30","         32.30","         32.65","         31.70","         32.25","         32.05","         32.20","   20795388","           669528088.90","      22830","    5342947","         25.69"
