"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VEDL","EQ","11-Sep-2017","        330.10","        327.90","        332.65","        324.50","        330.10","        329.70","        328.21","    7988640","          2621925882.85","      53372","    2074166","         25.96"
"VEDL","EQ","12-Sep-2017","        329.70","        332.00","        334.65","        330.00","        330.30","        330.70","        332.10","    6613224","          2196281044.55","      48059","    2193971","         33.18"
"VEDL","EQ","13-Sep-2017","        330.70","        330.90","        332.25","        325.25","        328.30","        327.10","        328.41","    6297761","          2068248859.10","      60731","    2646402","         42.02"
"VEDL","EQ","14-Sep-2017","        327.10","        325.90","        330.50","        316.85","        319.95","        319.70","        322.28","   14585171","          4700540893.00","      96096","    7385445","         50.64"
"VEDL","EQ","15-Sep-2017","        319.70","        316.55","        323.15","        311.85","        320.25","        319.00","        316.71","   17874300","          5660913408.00","     124464","    9511023","         53.21"
"VEDL","EQ","18-Sep-2017","        319.00","        320.70","        327.90","        320.70","        326.10","        325.85","        324.44","    8528923","          2767162719.05","      72536","    3254315","         38.16"
"VEDL","EQ","19-Sep-2017","        325.85","        326.15","        327.35","        321.55","        323.70","        323.25","        324.39","    5069324","          1644460934.95","      43317","    1589434","         31.35"
"VEDL","EQ","20-Sep-2017","        323.25","        324.80","        326.35","        321.15","        323.50","        323.25","        323.73","    7194610","          2329117456.45","      63608","    3117594","         43.33"
"VEDL","EQ","21-Sep-2017","        323.25","        323.60","        324.80","        315.00","        322.70","        322.55","        320.49","    7609612","          2438790397.50","      48251","    2188704","         28.76"
"VEDL","EQ","22-Sep-2017","        322.55","        320.05","        320.05","        306.20","        310.00","        307.90","        311.82","   13333144","          4157588494.10","     132049","    5364713","         40.24"
"VEDL","EQ","25-Sep-2017","        307.90","        308.10","        311.70","        297.00","        308.00","        306.80","        303.36","   14284480","          4333302203.10","     115945","    6084198","         42.59"
"VEDL","EQ","26-Sep-2017","        306.80","        309.20","        319.20","        305.90","        317.65","        318.25","        314.22","   14792385","          4648112428.00","     101413","    6008900","         40.62"
"VEDL","EQ","27-Sep-2017","        318.25","        317.75","        318.90","        308.70","        310.75","        310.35","        313.07","   11859644","          3712906441.30","     108764","    4218697","         35.57"
"VEDL","EQ","28-Sep-2017","        310.35","        311.10","        316.40","        307.55","        309.00","        308.90","        310.42","   12102753","          3756880850.30","     102222","    5218736","         43.12"
"VEDL","EQ","29-Sep-2017","        308.90","        309.25","        317.50","        309.25","        315.35","        314.25","        314.80","    8706451","          2740822544.05","      64627","    3326423","         38.21"
"VEDL","EQ","03-Oct-2017","        314.25","        318.10","        320.10","        316.10","        318.00","        318.25","        318.32","    5939080","          1890552967.55","      56104","    2398074","         40.38"
"VEDL","EQ","04-Oct-2017","        318.25","        319.00","        321.45","        316.65","        319.60","        319.10","        319.55","    6167532","          1970841651.00","      48487","    2062271","         33.44"
"VEDL","EQ","05-Oct-2017","        319.10","        319.15","        321.25","        317.50","        318.20","        318.40","        318.95","    3718224","          1185916348.65","      33129","    1056297","         28.41"
"VEDL","EQ","06-Oct-2017","        318.40","        322.40","        327.80","        321.15","        327.30","        327.15","        325.80","    9412152","          3066458854.00","      51807","    2387866","         25.37"
"VEDL","EQ","09-Oct-2017","        327.15","        327.80","        328.50","        323.10","        323.35","        324.00","        325.20","    6080570","          1977373249.45","      46906","    2644348","         43.49"
"VEDL","EQ","10-Oct-2017","        324.00","        325.90","        325.90","        318.35","        321.00","        321.00","        321.38","    8305203","          2669159969.20","      71461","    4220335","         50.82"
"VEDL","EQ","11-Oct-2017","        321.00","        322.50","        324.90","        310.15","        314.00","        313.40","        318.62","    9119496","          2905696258.75","      76761","    4557218","         49.97"
