"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PARAGMILK","EQ","11-Sep-2017","        246.25","        247.00","        249.00","        245.90","        246.05","        247.15","        247.42","      83328","            20616852.80","       3042","      41974","         50.37"
"PARAGMILK","EQ","12-Sep-2017","        247.15","        247.90","        260.00","        247.90","        249.00","        250.40","        252.61","     360881","            91161092.80","       4739","     232608","         64.46"
"PARAGMILK","EQ","13-Sep-2017","        250.40","        252.00","        256.40","        245.80","        247.00","        247.90","        251.18","     173890","            43677536.85","       4037","      96229","         55.34"
"PARAGMILK","EQ","14-Sep-2017","        247.90","        249.00","        255.85","        247.05","        249.00","        249.70","        251.59","     131333","            33042664.05","       3438","      50673","         38.58"
"PARAGMILK","EQ","15-Sep-2017","        249.70","        249.00","        251.30","        244.00","        248.50","        246.80","        248.01","     122914","            30483966.35","       3577","      55537","         45.18"
"PARAGMILK","EQ","18-Sep-2017","        246.80","        248.20","        251.40","        246.10","        247.20","        248.30","        249.14","      75843","            18895743.65","       1628","      51585","         68.02"
"PARAGMILK","EQ","19-Sep-2017","        248.30","        248.85","        249.90","        246.00","        247.90","        247.30","        247.40","      75026","            18561233.85","       2714","      38399","         51.18"
"PARAGMILK","EQ","20-Sep-2017","        247.30","        249.40","        249.40","        243.00","        244.00","        243.80","        244.76","      64551","            15799737.45","       2334","      32911","         50.98"
"PARAGMILK","EQ","21-Sep-2017","        243.80","        243.80","        249.90","        242.00","        243.95","        243.75","        245.35","      86755","            21285259.60","       2355","      43540","         50.19"
"PARAGMILK","EQ","22-Sep-2017","        243.75","        250.90","        251.50","        235.60","        237.05","        238.85","        241.46","     163082","            39378591.20","       3821","      71202","         43.66"
"PARAGMILK","EQ","25-Sep-2017","        238.85","        238.00","        238.00","        226.05","        233.50","        230.50","        231.09","     133046","            30746062.75","       4440","      65531","         49.25"
"PARAGMILK","EQ","26-Sep-2017","        230.50","        232.00","        239.00","        229.80","        238.95","        237.65","        233.52","     252967","            59073439.00","       5689","     137227","         54.25"
"PARAGMILK","EQ","27-Sep-2017","        237.65","        240.10","        247.00","        231.50","        235.00","        235.65","        240.29","     106554","            25604123.60","       2814","      51598","         48.42"
"PARAGMILK","EQ","28-Sep-2017","        235.65","        235.10","        237.75","        230.00","        231.10","        232.85","        233.55","      57164","            13350905.15","       1127","      29055","         50.83"
"PARAGMILK","EQ","29-Sep-2017","        232.85","        234.85","        249.90","        234.85","        247.50","        245.90","        245.30","     397299","            97459248.10","       7862","     249196","         62.72"
