"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MFSL","EQ","11-Sep-2017","        600.50","        603.05","        606.60","        598.65","        599.05","        599.80","        601.83","     373444","           224749618.35","      10177","     273148","         73.14"
"MFSL","EQ","12-Sep-2017","        599.80","        599.95","        602.20","        595.70","        596.95","        596.80","        598.36","     660539","           395241133.15","      11324","     523308","         79.22"
"MFSL","EQ","13-Sep-2017","        596.80","        596.80","        603.00","        592.00","        594.95","        593.75","        597.86","     575453","           344042434.55","      10877","     281857","         48.98"
"MFSL","EQ","14-Sep-2017","        593.75","        594.00","        601.50","        593.70","        600.00","        599.75","        599.61","     527164","           316094086.55","      16562","     303183","         57.51"
"MFSL","EQ","15-Sep-2017","        599.75","        601.00","        629.00","        600.00","        614.00","        615.75","        615.49","    3299237","          2030643787.60","      44234","     574028","         17.40"
"MFSL","EQ","18-Sep-2017","        615.75","        620.00","        636.00","        610.10","        627.75","        628.55","        625.02","    2364253","          1477695182.85","      41217","    1210306","         51.19"
"MFSL","EQ","19-Sep-2017","        628.55","        627.00","        652.90","        627.00","        646.55","        646.55","        645.41","    2900241","          1871844845.35","      63729","    1669203","         57.55"
"MFSL","EQ","20-Sep-2017","        646.55","        646.90","        650.45","        632.65","        635.05","        634.80","        637.58","     651926","           415657955.80","      34680","     416046","         63.82"
"MFSL","EQ","21-Sep-2017","        634.80","        645.00","        651.20","        631.00","        644.40","        645.75","        640.11","    1772265","          1134436808.55","      34443","     997725","         56.30"
"MFSL","EQ","22-Sep-2017","        645.75","        643.30","        646.70","        631.20","        635.80","        633.75","        638.58","    1065572","           680448785.20","      23977","     656090","         61.57"
"MFSL","EQ","25-Sep-2017","        633.75","        630.00","        630.00","        605.50","        618.80","        619.80","        618.12","    1569995","           970451306.05","      32089","     960276","         61.16"
"MFSL","EQ","26-Sep-2017","        619.80","        616.00","        616.95","        602.95","        605.80","        606.15","        610.27","     624926","           381370630.45","      15408","     346425","         55.43"
"MFSL","EQ","27-Sep-2017","        606.15","        607.25","        608.35","        584.20","        587.00","        587.80","        597.19","     541668","           323477235.75","      20173","     249057","         45.98"
"MFSL","EQ","28-Sep-2017","        587.80","        589.00","        598.55","        580.25","        582.70","        583.90","        588.81","     804578","           473744990.65","      27051","     505199","         62.79"
"MFSL","EQ","29-Sep-2017","        583.90","        586.00","        610.30","        582.95","        591.00","        590.90","        595.64","    1381868","           823101497.05","      32810","     938454","         67.91"
"MFSL","EQ","03-Oct-2017","        590.90","        597.00","        603.50","        589.90","        596.05","        600.00","        597.78","     481839","           288034627.40","      27910","     313753","         65.12"
"MFSL","EQ","04-Oct-2017","        600.00","        598.00","        598.55","        591.65","        594.00","        593.80","        595.26","     290457","           172897378.30","      11181","     165147","         56.86"
"MFSL","EQ","05-Oct-2017","        593.80","        592.15","        595.25","        585.00","        587.55","        587.90","        589.30","     343040","           202153433.95","       8531","     201545","         58.75"
"MFSL","EQ","06-Oct-2017","        587.90","        588.00","        599.85","        587.90","        593.10","        595.50","        595.33","     574361","           341931966.40","      17068","     392537","         68.34"
"MFSL","EQ","09-Oct-2017","        595.50","        592.55","        599.95","        589.60","        598.40","        597.35","        594.24","     383055","           227624822.25","      13841","     210509","         54.96"
"MFSL","EQ","10-Oct-2017","        597.35","        599.90","        604.00","        591.40","        592.80","        593.10","        596.26","     254762","           151903766.80","      11079","     102218","         40.12"
"MFSL","EQ","11-Oct-2017","        593.10","        593.60","        601.70","        587.00","        590.00","        590.90","        596.50","    1515744","           904145372.00","      12751","    1293343","         85.33"
"MFSL","EQ","12-Oct-2017","        590.90","        592.00","        596.55","        590.05","        590.45","        591.45","        592.96","     225579","           133759579.35","       5769","      76531","         33.93"
"MFSL","EQ","13-Oct-2017","        591.45","        592.00","        596.15","        581.40","        582.10","        584.00","        587.41","     498728","           292959848.40","      11101","     288044","         57.76"
"MFSL","EQ","16-Oct-2017","        584.00","        584.00","        589.20","        567.25","        577.00","        580.05","        577.20","     597026","           344600850.95","      13737","     269760","         45.18"
"MFSL","EQ","17-Oct-2017","        580.05","        580.70","        594.80","        573.10","        575.65","        575.75","        583.55","    1215791","           709469477.75","      21571","     606967","         49.92"
"MFSL","EQ","18-Oct-2017","        575.75","        576.00","        576.75","        565.55","        568.10","        567.70","        570.62","     281749","           160771655.90","      12893","     166510","         59.10"
"MFSL","EQ","19-Oct-2017","        567.70","        568.60","        569.85","        557.55","        562.50","        561.30","        563.73","      60241","            33959628.10","       1657","      27042","         44.89"
"MFSL","EQ","23-Oct-2017","        561.30","        566.65","        577.95","        564.05","        575.55","        575.65","        571.00","     531612","           303550089.50","       9169","     342206","         64.37"
"MFSL","EQ","24-Oct-2017","        575.65","        579.00","        583.00","        570.70","        571.80","        572.90","        576.18","     328474","           189259347.45","       8721","     121151","         36.88"
