1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.0333547972,0.004700797,0.0030238887,-0.010231466,0.022819044,0.000635324,0.0086454151,0.007759837,0.0035928144,0.0231481481,0.0102564103,-0.0140771637,0.0071016692,0.0069960888,0.0051143378,0.0001681056,0.0129792332,-0.0050268097,0.0007997164,0.0573152338
0.003592968,-0.006389342,-0.0110058086,-0.0074349442,0.0004693073,0.0472154964,-0.0200618574,-0.0120577503,0.0279394645,0.0226244344,-0.015625,-0.0153520381,0.0297408716,-0.0245513038,-0.0221113982,0.0025451083,-0.0100847116,-0.0051368421,-0.0040478792,-0.0408163265
0.0364737883,0.0067781048,-0.0231467,-0.0439230905,-0.0064235783,-0.0110159119,0.0303546099,0.005129824,0.0011627907,0.0059970015,-0.0052356021,-0.0255157438,-0.0061029804,0.0095035778,0.0079279924,0.0052659483,0.0072086504,0.0100041684,-0.003597212,0.0093312597
-0.0065961419,-0.0035229398,-0.0021943574,0.0080489939,0.0091725945,-0.025737602,-0.0022746659,-0.0022146642,-0.0153482881,0.0430416069,0.0205128205,0.0043243243,-0.0024352578,-0.0160172668,-0.0007755175,0.0050909737,-0.0117504052,0.0259845717,-0.0010978135,-0.0222575517
0.0079022101,0.007584111,0.0210219426,0.012270999,0.0174728711,0.0351302241,0.0433278931,0.021591085,0.032,-0.003599712,-0.0017123288,0.0149094782,0.0044349831,0.0061529777,0.0026772965,-0.0050691272,0.0060410793,0.0203643306,-0.0028440841,0.0047468354
0.0441402101,0.0039378516,-0.0080433101,-0.0001728608,0.0025683361,0.0078125,0.0301134436,-0.0070921986,0.0034168565,0.0014378145,-0.0051635112,-0.0042780749,-0.0082876222,-0.0033984707,0.0185109489,0.00071429,-0.0040436717,0.0278400742,0.0057714314,0.0031545741
-0.0213355834,0.0072336578,0,0.0090784515,0.0072846476,-0.0380536494,-0.0325731631,-0.0170418516,-0.0126874279,0.0113717129,0.0763116057,-0.0135501355,0.0100926636,-0.0145968622,-0.0059918933,0.0019723046,-0.0143560295,-0.0185097669,-0.0023605685,0.0200927357
-0.0027801281,-3.986341334,-0.0021702062,0,-0.0253010923,0.0012461059,0.0055727554,-0.0198043812,-0.0236127509,-0.0270072993,-0.0128824477,-0.0284280936,-0.0068936828,-0.0095144167,-0.0136358223,-0.0022327276,-0.0002051282,0.0169570267,-0.0044331644,0
-0.0044924721,-0.0454734507,-0.0475803832,0.008660214,-0.0265478244,-0.0262148338,-0.0286624204,-0.0269799103,-0.0547945205,-0.0402429765,-0.0597269625,-0.0245573958,-0.0293002202,-0.0442236627,-0.0314457683,-0.0072807091,-0.0205149676,-0.0189349112,-0.030339263,-0.0623973727
-0.0088192063,-0.002919911,-0.0035853977,-0.0087358684,0.0091168091,-0.0282708744,-0.010621178,-0.0002491074,-0.0281690141,-0.0146379045,-0.0244755245,0.1061766207,0.0050514272,-0.0342083829,-0.0104884255,-0.0009424618,-0.0362255965,-0.0225072604,-0.030401872,0.0081433225
