"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IDEA","EQ","11-Sep-2017","         79.60","         80.20","         80.55","         78.35","         78.60","         78.65","         79.08","    6650791","           525943791.60","      28204","    2072390","         31.16"
"IDEA","EQ","12-Sep-2017","         78.65","         78.70","         79.70","         77.00","         78.55","         78.70","         78.41","   15478764","          1213757331.25","      54652","    6922147","         44.72"
"IDEA","EQ","13-Sep-2017","         78.70","         79.35","         84.45","         78.60","         82.55","         82.60","         82.18","   31628590","          2599255278.00","      91282","    6121312","         19.35"
"IDEA","EQ","14-Sep-2017","         82.60","         82.90","         83.40","         81.20","         81.65","         81.70","         82.29","    8457020","           695920949.85","      34345","    1773236","         20.97"
"IDEA","EQ","15-Sep-2017","         81.70","         80.55","         82.45","         79.25","         80.35","         79.65","         80.01","   16600971","          1328201231.25","      46041","    9000213","         54.21"
"IDEA","EQ","18-Sep-2017","         79.65","         81.00","         83.15","         80.70","         82.35","         82.55","         82.15","   10355123","           850692387.05","      28973","    3542021","         34.21"
"IDEA","EQ","19-Sep-2017","         82.55","         82.45","         83.65","         82.05","         83.20","         83.20","         83.06","    9898456","           822143873.85","      22875","    3957962","         39.99"
"IDEA","EQ","20-Sep-2017","         83.20","         77.00","         81.40","         77.00","         80.10","         80.15","         79.84","   26020707","          2077435036.75","      66001","    4126950","         15.86"
"IDEA","EQ","21-Sep-2017","         80.15","         80.00","         81.25","         78.50","         80.05","         80.25","         79.98","    9267299","           741179458.55","      36940","    1451075","         15.66"
"IDEA","EQ","22-Sep-2017","         80.25","         79.00","         79.75","         78.00","         78.05","         78.20","         78.85","    6955341","           548410919.15","      28465","    1463449","         21.04"
"IDEA","EQ","25-Sep-2017","         78.20","         78.95","         78.95","         75.05","         75.90","         76.05","         76.45","    8826208","           674792113.75","      36794","    2810026","         31.84"
"IDEA","EQ","26-Sep-2017","         76.05","         76.10","         77.05","         75.60","         75.80","         76.05","         76.44","    3944203","           301507610.55","      13478","     633853","         16.07"
"IDEA","EQ","27-Sep-2017","         76.05","         75.50","         76.50","         74.75","         75.55","         75.40","         75.47","    7211053","           544227972.50","      20207","    1920322","         26.63"
"IDEA","EQ","28-Sep-2017","         75.40","         75.75","         76.50","         74.95","         75.40","         75.65","         75.87","    6530842","           495520674.70","      25932","    2298356","         35.19"
"IDEA","EQ","29-Sep-2017","         75.65","         75.80","         78.00","         75.30","         77.80","         77.45","         76.68","    6519987","           499936579.05","      27612","    1813655","         27.82"
"IDEA","EQ","03-Oct-2017","         77.45","         78.70","         78.70","         75.45","         76.05","         75.90","         76.44","    4714914","           360425559.95","      17492","     913146","         19.37"
"IDEA","EQ","04-Oct-2017","         75.90","         76.20","         76.20","         73.30","         74.30","         74.20","         74.75","    6132517","           458376121.45","      22402","    1725585","         28.14"
"IDEA","EQ","05-Oct-2017","         74.20","         74.20","         74.65","         73.45","         73.70","         73.75","         74.01","    6805052","           503650075.35","      17858","    2835990","         41.67"
"IDEA","EQ","06-Oct-2017","         73.75","         74.05","         74.30","         73.30","         73.90","         73.85","         73.81","    4178024","           308399317.80","      14323","    1053315","         25.21"
"IDEA","EQ","09-Oct-2017","         73.85","         74.20","         75.70","         73.90","         74.50","         74.20","         74.62","    4138282","           308812013.85","      12332","     727188","         17.57"
"IDEA","EQ","10-Oct-2017","         74.20","         74.70","         74.90","         71.45","         73.15","         72.95","         73.16","    6754950","           494202103.05","      26786","    2286611","         33.85"
"IDEA","EQ","11-Oct-2017","         72.95","         74.10","         76.00","         72.50","         72.65","         73.20","         74.36","   10042429","           746754904.55","      34745","    2028569","         20.20"
"IDEA","EQ","12-Oct-2017","         73.20","         73.60","         74.85","         73.00","         74.65","         74.55","         73.92","    5105437","           377383187.85","      16612","     905298","         17.73"
"IDEA","EQ","13-Oct-2017","         74.55","         75.65","         80.60","         75.30","         78.95","         78.90","         78.58","   27883442","          2191033966.15","      81244","    4610464","         16.53"
"IDEA","EQ","16-Oct-2017","         78.90","         79.00","         83.55","         79.00","         83.35","         83.10","         82.21","   29599463","          2433370846.70","      80116","    6553946","         22.14"
"IDEA","EQ","17-Oct-2017","         83.10","         83.90","         91.00","         82.55","         89.75","         90.00","         87.43","   42575442","          3722207892.20","     129918","   11594133","         27.23"
"IDEA","EQ","18-Oct-2017","         90.00","         90.00","         91.70","         86.80","         88.60","         88.70","         88.83","   25036892","          2224137139.35","      73329","    4086210","         16.32"
"IDEA","EQ","19-Oct-2017","         88.70","         89.00","         91.90","         89.00","         91.10","         91.25","         90.92","    7873347","           715860093.55","      22969","    1486595","         18.88"
"IDEA","EQ","23-Oct-2017","         91.25","         91.60","         99.25","         91.60","         98.75","         98.15","         97.01","   60048237","          5825159297.35","     183368","   15484504","         25.79"
"IDEA","EQ","24-Oct-2017","         98.15","         99.10","        100.85","         96.60","         98.40","         98.50","         98.90","   30006845","          2967710278.25","      95093","    4919839","         16.40"
"IDEA","EQ","25-Oct-2017","         98.50","         99.40","        100.40","         94.55","         99.10","         99.05","         97.88","   19866699","          1944513564.75","      57944","    3092813","         15.57"
"IDEA","EQ","26-Oct-2017","         99.05","         98.15","         99.80","         96.20","         96.55","         96.70","         97.64","   15478619","          1511279090.05","      38761","    5794619","         37.44"
"IDEA","EQ","27-Oct-2017","         96.70","         96.85","         97.25","         92.50","         93.15","         93.00","         94.45","   12164731","          1148994481.15","      38092","    3611129","         29.69"
"IDEA","EQ","30-Oct-2017","         93.00","         93.70","         95.50","         93.00","         94.80","         94.75","         94.29","   10023250","           945139158.95","      32011","    3033443","         30.26"
"IDEA","EQ","31-Oct-2017","         94.75","         95.30","         95.50","         92.30","         92.75","         92.85","         93.60","    8622061","           807053369.35","      28259","    2417725","         28.04"
"IDEA","EQ","01-Nov-2017","         92.85","         94.30","        100.20","         93.65","         99.20","         99.00","         97.83","   38516868","          3767988948.45","      96791","   10729740","         27.86"
"IDEA","EQ","02-Nov-2017","         99.00","        100.00","        107.50","         99.60","        106.10","        106.70","        104.32","   45995054","          4798428670.15","     152528","    7153796","         15.55"
"IDEA","EQ","03-Nov-2017","        106.70","        107.00","        110.80","        104.85","        106.50","        106.05","        108.27","   32433089","          3511501038.35","      89393","    7073632","         21.81"
"IDEA","EQ","06-Nov-2017","        106.05","        106.25","        106.30","        100.00","        100.20","        100.55","        102.98","   15089293","          1553955043.70","      52449","    3614242","         23.95"
"IDEA","EQ","07-Nov-2017","        100.55","        101.45","        102.80","         96.10","         97.80","         97.30","         98.98","   19587103","          1938678697.30","      67777","    7212058","         36.82"
"IDEA","EQ","08-Nov-2017","         97.30","         97.80","        101.50","         95.80","        101.30","         98.80","         97.98","   16778755","          1644039420.55","      47991","    3426742","         20.42"
"IDEA","EQ","09-Nov-2017","         98.80","        101.60","        102.80","         94.60","         97.40","         96.65","         97.85","   23356046","          2285352004.25","      70514","    5441920","         23.30"
"IDEA","EQ","10-Nov-2017","         96.65","         98.00","         98.45","         95.25","         96.65","         97.00","         96.87","   13974140","          1353676304.40","      35628","    4512848","         32.29"
"IDEA","EQ","13-Nov-2017","         97.00","         98.80","         98.90","         91.20","         92.95","         93.35","         94.95","   21790132","          2068995758.75","      64183","    3687744","         16.92"
"IDEA","EQ","14-Nov-2017","         93.35","         93.00","         93.70","         91.05","         92.55","         92.50","         92.45","   15986597","          1477902301.20","      47126","    5450345","         34.09"
"IDEA","EQ","15-Nov-2017","         92.50","         92.50","         95.30","         91.85","         93.55","         93.60","         93.69","   14295340","          1339314287.15","      37880","    3409816","         23.85"
"IDEA","EQ","16-Nov-2017","         93.60","         93.30","         96.60","         92.55","         95.80","         96.00","         94.35","    9510897","           897379064.90","      32275","    1332768","         14.01"
"IDEA","EQ","17-Nov-2017","         96.00","         96.05","         98.10","         94.15","         95.00","         95.20","         96.51","   12086559","          1166426055.75","      38148","    2313731","         19.14"
"IDEA","EQ","20-Nov-2017","         95.20","         95.00","        101.95","         94.50","        101.90","        101.10","         99.38","   26401636","          2623668366.50","      73065","    5302092","         20.08"
"IDEA","EQ","21-Nov-2017","        101.10","        102.50","        102.70","         99.50","        100.90","        100.85","        101.29","   17340600","          1756476755.75","      51148","    2240081","         12.92"
"IDEA","EQ","22-Nov-2017","        100.85","        102.00","        102.95","         97.35","         97.60","         98.45","         99.79","   17036356","          1699985511.05","      41493","    5160470","         30.29"
"IDEA","EQ","23-Nov-2017","         98.45","         98.75","        100.20","         95.70","         96.00","         96.10","         97.82","   18297675","          1789949407.40","      50304","    2587644","         14.14"
"IDEA","EQ","24-Nov-2017","         96.10","         96.10","         97.70","         94.00","         94.60","         94.70","         95.48","   13637185","          1302067272.05","      41647","    2700886","         19.81"
"IDEA","EQ","27-Nov-2017","         94.70","         94.10","         96.90","         93.15","         96.10","         96.10","         95.65","   16074928","          1537496889.40","      56819","    5155389","         32.07"
"IDEA","EQ","28-Nov-2017","         96.10","         96.10","         96.90","         94.60","         95.10","         95.25","         95.70","    9393359","           898923051.40","      26814","    2622971","         27.92"
"IDEA","EQ","29-Nov-2017","         95.25","         95.70","         95.85","         93.05","         93.40","         93.40","         94.38","    9591566","           905232553.60","      30856","    3534173","         36.85"
"IDEA","EQ","30-Nov-2017","         93.40","         93.05","         95.25","         92.25","         94.90","         94.45","         94.12","   27259610","          2565697691.15","      54673","   14698831","         53.92"
"IDEA","EQ","01-Dec-2017","         94.45","         94.50","         94.90","         92.90","         93.35","         93.25","         93.50","   10309119","           963900364.10","      21714","    3792148","         36.78"
"IDEA","EQ","04-Dec-2017","         93.25","         93.30","         94.30","         92.35","         93.20","         93.10","         93.26","    4590928","           428171484.10","      14138","     624586","         13.60"
"IDEA","EQ","05-Dec-2017","         93.10","         93.20","         93.95","         92.00","         93.60","         93.60","         93.20","    5477024","           510434123.05","      24308","     719663","         13.14"
"IDEA","EQ","06-Dec-2017","         93.60","         92.95","         94.65","         92.85","         93.05","         93.10","         93.40","    6578894","           614450314.15","      30694","    1896773","         28.83"
"IDEA","EQ","07-Dec-2017","         93.10","         93.10","         98.00","         92.70","         97.80","         97.45","         95.45","   13996163","          1335940389.90","      38164","    4143012","         29.60"
"IDEA","EQ","08-Dec-2017","         97.45","         98.00","         98.95","         95.50","         96.05","         96.20","         97.42","   12029462","          1171906591.15","      43877","    2102639","         17.48"
"IDEA","EQ","11-Dec-2017","         96.20","         96.70","         97.70","         95.35","         95.75","         95.75","         96.17","    5866998","           564239648.50","      18297","     854077","         14.56"
"IDEA","EQ","12-Dec-2017","         95.75","         95.75","         96.50","         93.00","         93.40","         93.35","         94.36","    6147786","           580079471.65","      20761","    1026783","         16.70"
"IDEA","EQ","13-Dec-2017","         93.35","         95.00","         95.00","         92.25","         92.80","         92.80","         93.58","    6103521","           571171255.30","      21189","    1228090","         20.12"
"IDEA","EQ","14-Dec-2017","         92.80","         93.55","         94.55","         91.20","         93.85","         93.95","         92.97","    6466545","           601179846.70","      20182","     936856","         14.49"
"IDEA","EQ","15-Dec-2017","         93.95","         94.95","         95.00","         93.55","         93.75","         93.90","         94.13","    4668234","           439405758.30","      24649","    1710004","         36.63"
"IDEA","EQ","18-Dec-2017","         93.90","         93.75","         96.20","         89.50","         95.25","         94.95","         94.03","    7900243","           742853995.55","      25143","    1180010","         14.94"
"IDEA","EQ","19-Dec-2017","         94.95","         95.10","         99.15","         94.20","         98.55","         98.60","         97.04","   10106840","           980798258.40","      36349","    2170813","         21.48"
"IDEA","EQ","20-Dec-2017","         98.60","         98.05","         99.90","         97.05","         98.05","         97.85","         98.53","    9300709","           916418086.70","      36962","    1158834","         12.46"
"IDEA","EQ","21-Dec-2017","         97.85","         98.10","        102.90","         97.25","        101.00","        101.55","        100.88","   16803425","          1695104171.55","      56671","    2535021","         15.09"
