"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PGHH","EQ","11-Sep-2017","       8313.10","       8354.00","       8414.95","       8301.00","       8324.00","       8326.70","       8330.13","       2404","            20025623.05","        577","       2016","         83.86"
"PGHH","EQ","12-Sep-2017","       8326.70","       8359.70","       8374.80","       8161.00","       8300.10","       8328.10","       8283.36","       1854","            15357348.40","        654","        877","         47.30"
"PGHH","EQ","13-Sep-2017","       8328.10","       8327.75","       8389.95","       8306.10","       8306.10","       8349.35","       8356.88","        448","             3743883.50","        274","        313","         69.87"
"PGHH","EQ","14-Sep-2017","       8349.35","       8315.00","       8410.00","       8315.00","       8410.00","       8393.55","       8374.23","        447","             3743279.35","        182","        372","         83.22"
"PGHH","EQ","15-Sep-2017","       8393.55","       8394.60","       8459.00","       8220.20","       8459.00","       8436.50","       8404.01","       2476","            20808319.00","       1219","       1640","         66.24"
"PGHH","EQ","18-Sep-2017","       8436.50","       8436.50","       8500.00","       8375.00","       8400.00","       8393.95","       8421.70","        901","             7587951.40","        396","        669","         74.25"
"PGHH","EQ","19-Sep-2017","       8393.95","       8430.00","       8436.80","       8280.00","       8430.00","       8399.95","       8350.06","       2542","            21225853.20","        785","       1935","         76.12"
"PGHH","EQ","20-Sep-2017","       8399.95","       8459.00","       8459.00","       8310.00","       8425.00","       8416.55","       8385.78","       1357","            11379505.10","        397","       1018","         75.02"
"PGHH","EQ","21-Sep-2017","       8416.55","       8376.00","       8452.00","       8300.30","       8360.00","       8397.80","       8363.19","       2802","            23433663.70","       1210","       1683","         60.06"
"PGHH","EQ","22-Sep-2017","       8397.80","       8381.75","       8409.60","       8315.00","       8369.90","       8337.10","       8339.58","        501","             4178130.10","        182","        236","         47.11"
"PGHH","EQ","25-Sep-2017","       8337.10","       8435.00","       8435.00","       8131.05","       8347.95","       8329.25","       8257.92","       2263","            18687668.80","        658","       1188","         52.50"
"PGHH","EQ","26-Sep-2017","       8329.25","       8262.05","       8349.00","       8260.00","       8300.00","       8331.00","       8310.94","       1164","             9673934.00","        683","        709","         60.91"
