"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PIDILITIND","EQ","11-Sep-2017","        843.65","        850.00","        853.50","        840.10","        845.00","        846.20","        846.48","     301971","           255613661.65","      10815","     105985","         35.10"
"PIDILITIND","EQ","12-Sep-2017","        846.20","        846.90","        859.00","        846.25","        850.00","        850.55","        851.71","     477274","           406497480.40","      11200","     299793","         62.81"
"PIDILITIND","EQ","13-Sep-2017","        850.55","        851.00","        851.75","        829.10","        830.60","        832.15","        841.11","     305788","           257201321.85","       7743","     167812","         54.88"
"PIDILITIND","EQ","14-Sep-2017","        832.15","        833.00","        842.40","        830.00","        837.95","        838.80","        837.03","     206713","           173024678.25","       7257","     101901","         49.30"
"PIDILITIND","EQ","15-Sep-2017","        838.80","        837.50","        842.80","        832.55","        838.00","        838.15","        838.25","     199445","           167185666.60","       5442","     126556","         63.45"
"PIDILITIND","EQ","18-Sep-2017","        838.15","        840.00","        844.50","        835.30","        837.30","        840.40","        840.33","     166201","           139663376.40","       4603","      99636","         59.95"
"PIDILITIND","EQ","19-Sep-2017","        840.40","        840.50","        866.00","        833.10","        865.95","        856.25","        854.21","     572800","           489291307.20","       7757","     425274","         74.24"
"PIDILITIND","EQ","20-Sep-2017","        856.25","        866.00","        868.45","        849.05","        850.70","        851.15","        856.41","     349889","           299650043.50","       9202","     144106","         41.19"
"PIDILITIND","EQ","21-Sep-2017","        851.15","        852.00","        855.00","        837.45","        839.95","        839.70","        842.49","     213584","           179942459.30","       7951","     103134","         48.29"
"PIDILITIND","EQ","22-Sep-2017","        839.70","        837.50","        839.45","        811.75","        813.00","        814.10","        823.04","     193155","           158973661.95","       8185","      95700","         49.55"
"PIDILITIND","EQ","25-Sep-2017","        814.10","        813.05","        814.45","        796.00","        802.70","        805.65","        803.98","     243396","           195684726.10","      11088","      78572","         32.28"
"PIDILITIND","EQ","26-Sep-2017","        805.65","        804.80","        804.80","        785.15","        792.50","        792.70","        791.12","     385937","           305323542.80","      21534","     202067","         52.36"
"PIDILITIND","EQ","27-Sep-2017","        792.70","        792.25","        797.20","        775.30","        780.50","        777.65","        784.68","     256901","           201585955.75","      22871","     100253","         39.02"
"PIDILITIND","EQ","28-Sep-2017","        777.65","        778.65","        786.70","        775.00","        776.30","        777.35","        779.58","     387964","           302450208.15","      14363","     218569","         56.34"
"PIDILITIND","EQ","29-Sep-2017","        777.35","        782.00","        808.00","        778.10","        795.55","        794.50","        794.40","     347273","           275874450.60","      24915","     200137","         57.63"
"PIDILITIND","EQ","03-Oct-2017","        794.50","        800.00","        811.35","        786.00","        787.30","        789.60","        796.55","     253650","           202045146.35","      14052","     123928","         48.86"
"PIDILITIND","EQ","04-Oct-2017","        789.60","        786.30","        801.40","        782.30","        795.90","        795.85","        796.28","     275688","           219526128.75","      10677","     130905","         47.48"
"PIDILITIND","EQ","05-Oct-2017","        795.85","        795.55","        806.85","        790.60","        794.00","        794.65","        797.78","     145932","           116421199.30","      11243","      54037","         37.03"
"PIDILITIND","EQ","06-Oct-2017","        794.65","        799.35","        806.70","        794.40","        799.00","        800.35","        801.42","     128921","           103319943.80","       7520","      56092","         43.51"
"PIDILITIND","EQ","09-Oct-2017","        800.35","        803.90","        808.00","        795.30","        803.90","        805.55","        801.70","     179763","           144115587.00","       8205","      68614","         38.17"
"PIDILITIND","EQ","10-Oct-2017","        805.55","        806.90","        807.00","        795.00","        805.00","        800.25","        802.05","     264790","           212374222.40","       7555","     188360","         71.14"
"PIDILITIND","EQ","11-Oct-2017","        800.25","        801.10","        813.00","        797.00","        805.05","        805.10","        805.33","     472356","           380401981.50","      27727","     240273","         50.87"
"PIDILITIND","EQ","12-Oct-2017","        805.10","        811.75","        812.00","        798.20","        805.00","        805.20","        805.55","     281456","           226726638.10","      13404","     165335","         58.74"
"PIDILITIND","EQ","13-Oct-2017","        805.20","        800.50","        815.00","        800.50","        809.00","        808.85","        809.38","     305846","           247544795.40","      20274","     181949","         59.49"
"PIDILITIND","EQ","16-Oct-2017","        808.85","        805.05","        816.40","        802.30","        810.40","        809.75","        810.64","     343209","           278218324.65","      25927","     199889","         58.24"
"PIDILITIND","EQ","17-Oct-2017","        809.75","        804.10","        811.35","        802.60","        805.00","        805.00","        807.31","     143381","           115753554.80","       9204","      74002","         51.61"
"PIDILITIND","EQ","18-Oct-2017","        805.00","        805.00","        807.90","        795.60","        805.10","        805.40","        803.73","     317645","           255301625.35","       7922","     214429","         67.51"
"PIDILITIND","EQ","19-Oct-2017","        805.40","        805.50","        807.25","        797.25","        798.00","        800.90","        802.58","      22787","            18288401.10","       1083","      11280","         49.50"
"PIDILITIND","EQ","23-Oct-2017","        800.90","        800.00","        809.70","        783.00","        805.00","        802.05","        793.98","     999827","           793840038.15","      28188","     611382","         61.15"
"PIDILITIND","EQ","24-Oct-2017","        802.05","        808.70","        808.70","        788.50","        799.00","        800.50","        794.13","     328304","           260716005.40","      18151","     212201","         64.64"
"PIDILITIND","EQ","25-Oct-2017","        800.50","        796.05","        820.95","        782.00","        797.85","        801.15","        792.78","     828216","           656590889.40","      27353","     491164","         59.30"
