"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LAXMIMACH","EQ","11-Sep-2017","       6014.40","       6000.10","       6100.00","       6000.10","       6064.00","       6059.80","       6077.50","      10794","            65600536.90","       1618","       7647","         70.84"
"LAXMIMACH","EQ","12-Sep-2017","       6059.80","       6074.45","       6100.00","       6025.00","       6048.90","       6064.65","       6070.95","      26228","           159228807.25","       1152","      24203","         92.28"
"LAXMIMACH","EQ","13-Sep-2017","       6064.65","       6080.00","       6100.00","       5980.00","       6030.00","       6040.20","       6072.80","       9771","            59337343.10","       1354","       5758","         58.93"
"LAXMIMACH","EQ","14-Sep-2017","       6040.20","       6025.30","       6080.00","       6007.05","       6010.05","       6018.55","       6028.80","       3061","            18454141.95","        611","       1877","         61.32"
"LAXMIMACH","EQ","15-Sep-2017","       6018.55","       6016.00","       6075.00","       5959.05","       6031.00","       6011.95","       5994.65","       5918","            35476335.80","       1176","       3116","         52.65"
"LAXMIMACH","EQ","18-Sep-2017","       6011.95","       6020.00","       6074.15","       5982.80","       6010.00","       5994.90","       6030.71","       3438","            20733568.60","       1188","       2529","         73.56"
"LAXMIMACH","EQ","19-Sep-2017","       5994.90","       6000.05","       6189.00","       6000.00","       6026.00","       6029.70","       6079.06","      12215","            74255724.05","       2276","       6724","         55.05"
"LAXMIMACH","EQ","20-Sep-2017","       6029.70","       6000.50","       6139.50","       6000.50","       6008.00","       6015.50","       6037.81","       8225","            49660991.95","       1204","       3846","         46.76"
"LAXMIMACH","EQ","21-Sep-2017","       6015.50","       6002.25","       6065.00","       5946.00","       5995.00","       5988.95","       6000.96","       5406","            32441215.20","       1137","       3428","         63.41"
"LAXMIMACH","EQ","22-Sep-2017","       5988.95","       5998.05","       5998.05","       5801.00","       5801.00","       5812.60","       5854.51","      15805","            92530579.35","       2537","      11879","         75.16"
"LAXMIMACH","EQ","25-Sep-2017","       5812.60","       5880.00","       5880.00","       5603.00","       5625.00","       5641.10","       5674.94","       4257","            24158202.20","       1036","       2951","         69.32"
"LAXMIMACH","EQ","26-Sep-2017","       5641.10","       5630.00","       5849.00","       5615.05","       5780.15","       5825.55","       5770.49","       8345","            48154746.20","       2402","       5067","         60.72"
"LAXMIMACH","EQ","27-Sep-2017","       5825.55","       5880.00","       5880.00","       5610.10","       5643.00","       5658.15","       5767.35","       6032","            34788664.10","        881","       2635","         43.68"
"LAXMIMACH","EQ","28-Sep-2017","       5658.15","       5700.05","       5739.75","       5650.00","       5720.00","       5701.65","       5706.71","       1785","            10186483.10","        636","       1067","         59.78"
"LAXMIMACH","EQ","29-Sep-2017","       5701.65","       5749.45","       5789.00","       5660.55","       5700.00","       5700.30","       5706.44","      17065","            97380331.05","        593","      16028","         93.92"
